□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20190801 ~ 20200731,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
충청북도 괴산군 괴산읍 동부리,811,811,0,신성건설 미소지움 괴산,84.9577,202006,9,"18,500",1,2014,남산1길 41
충청북도 괴산군 괴산읍 동부리,811,811,0,신성건설 미소지움 괴산,59.9747,202006,12,"15,000",17,2014,남산1길 41
충청북도 괴산군 괴산읍 동부리,811,811,0,신성건설 미소지움 괴산,84.9612,202006,13,"20,600",8,2014,남산1길 41
충청북도 괴산군 괴산읍 동부리,811,811,0,신성건설 미소지움 괴산,84.9577,202006,26,"20,300",8,2014,남산1길 41
충청북도 괴산군 괴산읍 동부리,811,811,0,신성건설 미소지움 괴산,84.9612,202007,1,"19,000",3,2014,남산1길 41
충청북도 괴산군 괴산읍 동부리,811,811,0,신성건설 미소지움 괴산,84.9577,202007,9,"19,300",20,2014,남산1길 41
충청북도 괴산군 괴산읍 서부리,510,510,0,반석,76.56,201912,6,"8,300",1,1991,금산길 20
충청북도 괴산군 괴산읍 서부리,510,510,0,반석,76.56,202007,29,"8,400",1,1991,금산길 20
충청북도 괴산군 괴산읍 서부리,125-1,125,1,월드,56.18,202001,15,"2,000",5,1992,임꺽정로 86-7
충청북도 괴산군 괴산읍 서부리,125-1,125,1,월드,56.18,202002,26,"3,100",3,1992,임꺽정로 86-7
충청북도 괴산군 괴산읍 서부리,125-1,125,1,월드,51.38,202003,31,"3,000",6,1992,임꺽정로 86-7
충청북도 괴산군 괴산읍 서부리,277-5,277,5,태광아파트,60,201910,7,"9,800",12,1998,읍내로4길 51
충청북도 괴산군 괴산읍 서부리,277-5,277,5,태광아파트,60,201912,27,"9,600",2,1998,읍내로4길 51
충청북도 괴산군 괴산읍 서부리,277-5,277,5,태광아파트,60,202002,11,"10,400",3,1998,읍내로4길 51
충청북도 괴산군 괴산읍 서부리,277-5,277,5,태광아파트,60,202005,7,"9,600",1,1998,읍내로4길 51
충청북도 괴산군 괴산읍 서부리,277-5,277,5,태광아파트,60,202005,8,"9,700",5,1998,읍내로4길 51
충청북도 괴산군 괴산읍 서부리,277-5,277,5,태광아파트,60,202005,25,"9,600",10,1998,읍내로4길 51
충청북도 괴산군 불정면 목도리,462-3,462,3,목도,59.72,202005,4,"3,970",5,1994,하산로 217-6
